Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,4.5,0,0,0,0,0,0,0,0.0,0,3,0,3,2,2,4,0
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,3.4,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,1.4,4,2,0,1,3,1,2,50.0,1,2,0,2,0,4,2,0
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,3.1,4,2,1,2,1,1,2,50.0,1,2,0,2,2,6,3,0
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,4.7,7,3,4,2,1,4,6,66.7,2,3,1,2,5,12,13,0
6,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5.0,10,2,8,1,1,5,7,71.4,2,16,11,5,1,11,21,0
7,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
8,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,0.5,3,3,3,0,0,1,1,100.0,0,2,0,2,1,4,5,0
9,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,0.6,0,0,0,0,0,0,0,0.0,0,2,2,0,1,1,4,0
10,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,3.3,5,1,3,2,0,0,4,0.0,4,1,1,0,2,7,7,0
11,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,2.4,2,1,1,0,1,0,0,0.0,0,3,0,3,0,2,0,0
12,Robert Andrich,GER,MF,Leverkusen,30,1994.0,2.8,5,2,1,4,0,3,3,100.0,0,2,0,2,3,8,6,0
13,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5.0,9,7,6,2,1,3,4,75.0,1,10,7,3,6,15,22,1
14,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,4.9,9,7,2,5,2,3,7,42.9,4,4,3,1,2,11,9,0
15,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,1.5,4,4,2,1,1,1,2,50.0,1,1,0,1,0,4,0,0
16,Arthur,BRA,DF,Leverkusen,21,2003.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
17,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
18,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,3.6,6,4,1,3,2,3,8,37.5,5,9,0,9,4,10,4,0
19,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,1.0,1,1,1,0,0,0,0,0.0,0,2,0,2,0,1,0,0
20,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
21,Scott Banks,SCO,FW,St. Pauli,23,2001.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
22,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,0.8,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,0,0
23,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,2.8,5,3,1,3,1,1,4,25.0,3,5,1,4,2,7,17,1
24,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
25,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,1.2,2,2,1,1,0,2,6,33.3,4,3,1,2,0,2,1,0
26,Adrian Beck,GER,FW,Heidenheim,27,1997.0,2.3,3,2,1,2,0,0,5,0.0,5,9,0,9,3,6,5,0
27,Timo Becker,GER,DF,Holstein Kiel,27,1997.0,5.0,9,5,6,3,0,5,7,71.4,2,6,5,1,3,12,11,0
28,Kevin Behrens,GER,FW,Wolfsburg,33,1991.0,0.5,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
29,Maximilian Beier,GER,"FW,MF",Dortmund,21,2002.0,1.5,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,2,0
30,Stefan Bell,GER,DF,Mainz 05,33,1991.0,1.8,4,2,3,1,0,0,2,0.0,2,1,1,0,5,9,12,0
31,Jeanuël Belocian,FRA,DF,Leverkusen,19,2005.0,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
32,László Bénes,SVK,"MF,FW",Union Berlin,27,1997.0,1.5,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
33,Ramy Bensebaini,ALG,"DF,FW",Dortmund,29,1995.0,1.9,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,5,1
34,Mergim Berisha,GER,FW,Hoffenheim,26,1998.0,2.4,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,2,0
35,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26,1998.0,1.7,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,2,0
36,Matúš Bero,SVK,MF,Bochum,29,1995.0,4.7,9,5,4,1,4,5,14,35.7,9,10,1,9,1,10,6,1
37,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,0.7,2,1,0,1,1,2,2,100.0,0,0,0,0,0,2,0,0
38,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,2.1,9,6,2,7,0,3,5,60.0,2,4,2,2,1,10,6,0
39,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
40,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,2.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
41,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,1.4,3,0,2,0,1,2,3,66.7,1,1,0,1,0,3,4,0
42,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,3.8,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,3,0
43,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5.0,4,2,1,2,1,1,4,25.0,3,8,8,0,5,9,17,0
44,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,2.6,6,1,0,5,1,0,2,0.0,2,3,0,3,3,9,2,0
45,Julian Brandt,GER,MF,Dortmund,28,1996.0,4.2,2,0,1,1,0,0,1,0.0,1,1,0,1,0,2,3,0
46,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,1.3,1,1,0,1,0,0,4,0.0,4,1,0,1,2,3,0,0
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,3,2,0,2,1,2,3,66.7,1,4,2,2,1,4,3,0
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,3,2,1,2,0,0,2,0.0,2,3,0,3,0,3,4,0
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,1,0,1,0,0,1,2,50.0,1,3,0,3,1,2,1,0
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,5,5,1,3,1,5,6,83.3,1,1,1,0,1,6,2,0
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,6,0
52,Marnon Busch,GER,DF,Heidenheim,29,1994.0,1.7,1,0,0,1,0,1,2,50.0,1,2,2,0,1,2,6,0
53,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,4.2,4,2,1,2,1,2,4,50.0,2,5,0,5,4,8,12,1
54,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,3.2,4,1,2,2,0,2,5,40.0,3,3,1,2,2,6,7,1
55,Julian Chabot,GER,DF,Stuttgart,26,1998.0,4.8,8,6,7,1,0,4,5,80.0,1,3,1,2,9,17,25,0
56,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,1.1,5,3,1,4,0,3,4,75.0,1,1,1,0,3,8,5,1
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,4,2,2,0,2,2,4,50.0,2,5,0,5,3,7,7,0
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,2,0,0,2,0,0,0,0.0,0,5,3,2,5,7,10,0
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,7,3,3,1,3,3,3,100.0,0,3,0,3,1,8,5,0
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,1,0
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,2,1,2,0,0,2,5,40.0,3,4,0,4,1,3,3,0
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,1,1,0,0,1,0,5,0.0,5,3,0,3,0,1,3,0
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,5,1,2,1,2,4,4,100.0,0,3,0,3,2,7,4,0
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,2,0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,1,1,0,1,0,0,1,0.0,1,3,0,3,0,1,0,0
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,3,0
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,2,1,0,1,1,0,4,0.0,4,4,1,3,1,3,0,0
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,10,9,6,3,1,6,9,66.7,3,9,0,9,3,13,3,0
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,6,4,3,1,2,3,5,60.0,2,8,2,6,3,9,16,0
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,2,0
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,17,7,11,6,0,9,12,75.0,3,6,4,2,1,18,7,0
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,3,2,0,2,1,0,4,0.0,4,2,0,2,0,3,7,0
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,4,1,3,1,0,2,3,66.7,1,0,0,0,0,4,3,0
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,6,4,1,4,1,1,4,25.0,3,3,0,3,10,16,6,0
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,4,1,2,1,1,2,2,100.0,0,2,0,2,3,7,3,0
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,9,5,4,2,3,6,6,100.0,0,10,8,2,8,17,18,0
88,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,0.9,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0
89,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,2.5,4,3,3,1,0,1,7,14.3,6,5,4,1,2,6,18,0
90,Samuel Essende,COD,FW,Augsburg,26,1998.0,3.6,0,0,0,0,0,0,0,0.0,0,3,1,2,0,0,1,0
91,Kilian Fischer,GER,DF,Wolfsburg,23,2000.0,5.0,16,12,12,2,2,12,26,46.2,14,10,0,10,5,21,16,1
92,Jonas Föhrenbach,GER,"DF,FW",Heidenheim,28,1996.0,5.0,10,9,5,5,0,5,8,62.5,3,5,1,4,6,16,14,0
93,Marco Friedl,AUT,DF,Werder Bremen,26,1998.0,2.7,6,5,3,3,0,2,4,50.0,2,2,2,0,5,11,15,0
94,Marvin Friedrich,GER,FW,Gladbach,28,1995.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
95,Jeremie Frimpong,NED,DF,Leverkusen,23,2000.0,3.7,6,5,4,1,1,4,10,40.0,6,4,0,4,4,10,2,0
96,Chris Führich,GER,"FW,MF",Stuttgart,26,1998.0,1.9,2,2,0,1,1,2,3,66.7,1,0,0,0,0,2,3,0
97,Aleix García,ESP,MF,Leverkusen,27,1997.0,2.1,3,0,1,1,1,2,3,66.7,1,2,0,2,1,4,2,0
98,Lutsharel Geertruida,NED,DF,RB Leipzig,24,2000.0,3.0,6,4,1,5,0,2,7,28.6,5,1,0,1,3,9,9,0
99,Dennis Geiger,GER,MF,Hoffenheim,26,1998.0,1.9,6,5,2,3,1,3,5,60.0,2,1,0,1,1,7,0,0
100,Valentin Gendrey,FRA,"DF,FW",Hoffenheim,24,2000.0,1.3,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,4,0
101,Yannick Gerhardt,GER,"FW,MF",Wolfsburg,30,1994.0,0.5,1,1,1,0,0,1,1,100.0,0,1,0,1,3,4,1,0
102,Max Geschwill,GER,DF,Holstein Kiel,23,2001.0,2.9,6,5,2,4,0,4,5,80.0,1,1,1,0,5,11,9,0
103,Dimitris Giannoulis,GRE,DF,Augsburg,28,1995.0,4.8,9,6,5,3,1,8,12,66.7,4,7,1,6,9,18,8,0
104,Armin Gigovic,BIH,MF,Holstein Kiel,22,2002.0,2.0,2,1,2,0,0,1,4,25.0,3,1,0,1,3,5,4,0
105,Benedikt Gimber,GER,DF,Heidenheim,27,1997.0,5.0,12,10,9,3,0,6,8,75.0,2,14,3,11,6,18,27,0
106,Matthias Ginter,GER,DF,Freiburg,30,1994.0,2.7,4,2,1,2,1,3,3,100.0,0,2,2,0,0,4,4,0
107,Jamie Gittens,ENG,"FW,DF",Dortmund,20,2004.0,2.5,6,2,1,3,2,0,1,0.0,1,3,0,3,2,8,0,0
108,Serge Gnabry,GER,"FW,MF",Bayern Munich,29,1995.0,3.6,5,5,3,1,1,3,6,50.0,3,2,0,2,3,8,2,0
109,Leon Goretzka,GER,DF,Bayern Munich,29,1995.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
110,Robin Gosens,GER,DF,Union Berlin,30,1994.0,1.0,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,2,0
111,Mario Götze,GER,"FW,MF",Eint Frankfurt,32,1992.0,2.5,3,3,1,2,0,1,4,25.0,3,2,0,2,1,4,2,0
112,Jeffrey Gouweleeuw,NED,DF,Augsburg,33,1991.0,5.0,5,3,2,1,2,3,7,42.9,4,5,1,4,4,9,19,0
113,Kamil Grabara,POL,GK,Wolfsburg,25,1999.0,5.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
114,Michael Gregoritsch,AUT,FW,Freiburg,30,1994.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
115,Vincenzo Grifo,ITA,"FW,MF",Freiburg,31,1993.0,4.5,1,1,1,0,0,0,4,0.0,4,3,1,2,0,1,1,0
116,Florian Grillitsch,AUT,"MF,DF",Hoffenheim,29,1995.0,2.3,6,5,3,2,1,3,3,100.0,0,2,2,0,1,7,8,0
117,Álex Grimaldo,ESP,DF,Leverkusen,29,1995.0,5.0,4,3,2,1,1,3,8,37.5,5,3,1,2,6,10,5,0
118,Pascal Groß,GER,MF,Dortmund,33,1991.0,4.5,7,4,1,5,1,0,7,0.0,7,3,0,3,2,9,4,0
119,Marco Grüll,AUT,"FW,MF",Werder Bremen,26,1998.0,1.5,2,2,0,1,1,0,2,0.0,2,4,1,3,1,3,1,0
120,Raphaël Guerreiro,POR,DF,Bayern Munich,30,1993.0,2.9,6,5,4,1,1,4,4,100.0,0,0,0,0,3,9,2,0
121,Morgan Guilavogui,GUI,FW,St. Pauli,26,1998.0,2.1,2,0,1,1,0,0,0,0.0,0,0,0,0,0,2,1,0
122,Serhou Guirassy,GUI,FW,Dortmund,28,1996.0,2.8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0
123,Péter Gulácsi,HUN,GK,RB Leipzig,34,1990.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
124,Christian Günter,GER,DF,Freiburg,31,1993.0,4.8,4,3,2,2,0,4,8,50.0,4,3,2,1,2,6,8,0
125,Janik Haberer,GER,"DF,MF",Union Berlin,30,1994.0,3.8,7,5,3,3,1,7,12,58.3,5,1,0,1,1,8,7,0
126,Robin Hack,GER,"FW,MF",Gladbach,26,1998.0,1.5,4,4,2,0,2,2,3,66.7,1,0,0,0,0,4,2,0
127,Amadou Haidara,MLI,MF,RB Leipzig,26,1998.0,3.2,6,5,3,3,0,3,5,60.0,2,9,3,6,2,8,13,0
128,Andreas Hanche-Olsen,NOR,DF,Mainz 05,27,1997.0,3.3,4,1,1,2,1,0,0,0.0,0,7,6,1,3,7,20,1
129,Ramon Hendriks,NED,DF,Stuttgart,23,2001.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0
130,Benjamin Henrichs,GER,DF,RB Leipzig,27,1997.0,2.6,12,4,5,5,2,5,7,71.4,2,3,0,3,7,19,5,0
131,Piero Hincapié,ECU,DF,Leverkusen,22,2002.0,4.4,8,8,4,3,1,5,7,71.4,2,12,6,6,6,14,11,0
132,Adam Hložek,CZE,"FW,MF",Hoffenheim,22,2002.0,2.7,4,2,2,0,2,1,3,33.3,2,2,0,2,0,4,6,0
133,Nicolas Höfler,GER,MF,Freiburg,34,1990.0,0.6,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,2,0
134,Jonas Hofmann,GER,MF,Leverkusen,32,1992.0,0.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
135,Philipp Hofmann,GER,FW,Bochum,31,1993.0,3.5,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,3,0
136,Lucas Höler,GER,"MF,FW",Freiburg,30,1994.0,1.2,4,4,1,3,0,1,3,33.3,2,2,0,2,1,5,2,0
137,Benedict Hollerbach,GER,"MF,FW",Union Berlin,23,2001.0,3.9,7,3,1,4,2,4,4,100.0,0,6,0,6,0,7,0,0
138,Lewis Holtby,GER,MF,Holstein Kiel,34,1990.0,4.4,13,5,8,4,1,4,9,44.4,5,4,0,4,8,21,6,1
139,Franck Honorat,FRA,FW,Gladbach,28,1996.0,2.6,2,1,1,0,1,0,1,0.0,1,3,1,2,0,2,3,0
140,Mathias Honsak,AUT,"MF,FW",Heidenheim,27,1996.0,0.9,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,3,0
141,Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1
142,Robin Hranáč,CZE,DF,Hoffenheim,24,2000.0,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,3,1
143,Hong Hyunseok,KOR,MF,Mainz 05,25,1999.0,2.4,4,1,2,1,1,0,1,0.0,1,1,0,1,3,7,5,0
144,Oscar Højlund,DEN,MF,Eint Frankfurt,19,2005.0,0.2,2,1,2,0,0,0,0,0.0,0,1,0,1,1,3,0,0
145,Jackson Irvine,AUS,MF,St. Pauli,31,1993.0,5.0,14,6,7,5,2,5,12,41.7,7,6,0,6,9,23,16,0
146,Ko Itakura,JPN,DF,Gladbach,27,1997.0,5.0,12,8,6,6,0,6,8,75.0,2,2,2,0,5,17,24,0
147,Marko Ivezić,SRB,DF,Holstein Kiel,22,2001.0,1.0,2,1,1,1,0,1,2,50.0,1,0,0,0,3,5,2,0
148,Lee Jae-sung,KOR,MF,Mainz 05,32,1992.0,3.8,7,5,3,2,2,1,1,100.0,0,5,1,4,2,9,7,0
149,Kristijan Jakić,CRO,MF,Augsburg,27,1997.0,2.9,4,0,1,2,1,0,3,0.0,3,5,0,5,3,7,1,0
150,Dominik Javorček,SVK,DF,Holstein Kiel,21,2002.0,0.5,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,4,1
151,Fredrik Jensen,FIN,"MF,DF",Augsburg,27,1997.0,1.2,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0
152,Moritz Jenz,GER,DF,Mainz 05,25,1999.0,3.0,3,1,1,2,0,0,3,0.0,3,4,4,0,3,6,24,0
153,Carl Johansson,SWE,DF,Holstein Kiel,30,1994.0,3.9,4,2,4,0,0,3,6,50.0,3,7,6,1,6,10,23,1
154,Anthony Jung,GER,DF,Werder Bremen,32,1991.0,4.5,5,4,4,1,0,1,3,33.3,2,2,1,1,5,10,22,0
155,Yusuf Kabadayı,GER,"MF,FW",Augsburg,20,2004.0,0.4,1,0,0,1,0,0,0,0.0,0,1,0,1,0,1,0,0
156,Pavel Kadeřábek,CZE,DF,Hoffenheim,32,1992.0,4.8,7,3,4,1,2,5,12,41.7,7,5,2,3,6,13,13,0
157,Jakub Kamiński,POL,"DF,MF",Wolfsburg,22,2002.0,5.0,10,4,4,2,4,5,13,38.5,8,10,5,5,5,15,4,0
158,Kevin Kampl,SVN,MF,RB Leipzig,33,1990.0,2.9,6,4,2,2,2,3,4,75.0,1,6,1,5,3,9,3,0
159,Harry Kane,ENG,FW,Bayern Munich,31,1993.0,4.8,2,2,0,1,1,0,0,0.0,0,2,0,2,0,2,2,0
160,Atakan Karazor,GER,MF,Stuttgart,27,1996.0,4.4,10,2,1,5,4,5,5,100.0,0,1,0,1,4,14,5,0
161,Mikkel Kaufmann,DEN,FW,Heidenheim,23,2001.0,0.9,2,1,1,0,1,0,0,0.0,0,1,1,0,0,2,3,0
162,Andu Kelati,GER,MF,Holstein Kiel,22,2002.0,1.1,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,1,0
163,Aljoscha Kemlein,GER,MF,Union Berlin,20,2004.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
164,Luca Kerber,GER,"MF,FW",Heidenheim,22,2002.0,0.9,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,5,0
165,Rani Khedira,GER,MF,Union Berlin,30,1994.0,5.0,8,5,2,6,0,4,6,66.7,2,4,2,2,8,16,8,0
166,Joshua Kimmich,GER,"MF,DF",Bayern Munich,29,1995.0,5.0,5,2,2,2,1,5,7,71.4,2,2,0,2,4,9,7,2
167,Tim Kleindienst,GER,FW,Gladbach,29,1995.0,4.9,3,1,1,2,0,1,6,16.7,5,7,0,7,1,4,9,0
168,Lukas Klostermann,GER,DF,RB Leipzig,28,1996.0,3.2,5,2,4,0,1,3,5,60.0,2,6,3,3,2,7,16,1
169,Ansgar Knauff,GER,"MF,FW",Eint Frankfurt,22,2002.0,1.5,7,4,4,2,1,2,2,100.0,0,2,0,2,0,7,3,0
170,Magnus Knudsen,NOR,MF,Holstein Kiel,23,2001.0,4.7,13,5,6,3,4,7,13,53.8,6,4,2,2,5,18,10,0
171,Gregor Kobel,SUI,GK,Dortmund,26,1997.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
172,Robin Koch,GER,DF,Eint Frankfurt,28,1996.0,5.0,1,1,1,0,0,0,2,0.0,2,13,7,6,2,3,31,1
173,Derrick Köhn,GER,DF,Werder Bremen,25,1999.0,1.6,1,1,0,0,1,0,0,0.0,0,1,1,0,2,3,5,0
174,Dominik Kohr,GER,"DF,MF",Mainz 05,30,1994.0,4.8,16,11,11,2,3,10,13,76.9,3,13,7,6,4,20,26,0
175,Marco Komenda,CRO,DF,Holstein Kiel,27,1996.0,1.0,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,6,0
176,Mert Kömür,GER,MF,Augsburg,19,2005.0,0.3,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,1
177,Henri Koudossou,GER,DF,Augsburg,25,1999.0,0.3,1,1,0,1,0,1,3,33.3,2,1,1,0,0,1,2,0
178,Konstantinos Koulierakis,GRE,DF,Wolfsburg,20,2003.0,1.6,2,0,1,1,0,0,2,0.0,2,4,3,1,1,3,10,0
179,Matej Kovar,CZE,GK,Leverkusen,24,2000.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
180,Andrej Kramarić,CRO,MF,Hoffenheim,33,1991.0,3.9,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,1,0
181,Frans Krätzig,GER,DF,Stuttgart,21,2003.0,0.6,2,1,1,0,1,1,3,33.3,2,2,1,1,0,2,1,0
182,Rasmus Kristensen,DEN,"DF,MF",Eint Frankfurt,27,1997.0,5.0,11,6,7,2,2,7,15,46.7,8,6,3,3,3,14,15,0
183,Lukas Kübler,GER,DF,Freiburg,32,1992.0,4.5,9,6,6,2,1,5,7,71.4,2,8,3,5,13,22,9,1
184,Moritz-Broni Kwarteng,GHA,MF,Bochum,26,1998.0,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
