Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Junior Adamu,AUT,FW,Freiburg,23,2001.0,5,408.0,82.0,90.7,4.5,5,82.0,2,0,0.0,0,1.8,8.0,7.0,1.0,0.22,9.1,4.3,4.8,1.06
2,Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002.0,5,305.0,61.0,67.8,3.4,4,68.0,1,1,34.0,0,2.0,7.0,6.0,1.0,0.3,6.2,4.9,1.3,0.39
3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000.0,5,128.0,26.0,28.4,1.4,1,55.0,0,4,18.0,0,2.0,4.0,5.0,-1.0,-0.7,3.4,1.7,1.7,1.19
4,Oladapo Afolayan,ENG,FW,St. Pauli,26,1998.0,5,278.0,56.0,61.8,3.1,2,89.0,0,3,34.0,0,0.8,4.0,4.0,0.0,0.0,3.1,4.8,-1.7,-0.55
5,Felix Agu,GER,DF,Werder Bremen,25,1999.0,5,422.0,84.0,93.8,4.7,5,84.0,3,0,0.0,0,1.6,7.0,11.0,-4.0,-0.85,6.2,6.4,-0.2,-0.04
6,Jonathan Akaegbobi,GER,FW,Wolfsburg,18,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.6,9.0,15.0,-6.0,-1.2,7.0,11.9,-4.9,-0.98
8,Andreas Albers,DEN,FW,St. Pauli,34,1990.0,3,23.0,8.0,5.1,0.3,0,0.0,0,3,8.0,1,1.0,0.0,1.0,-1.0,-3.91,0.2,1.0,-0.7,-2.83
9,Ben Alexander Voll,GER,GK,St. Pauli,23,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Skelly Alvero,FRA,MF,Werder Bremen,22,2002.0,4,42.0,11.0,9.3,0.5,0,0.0,0,4,11.0,1,1.75,0.0,0.0,0.0,0.0,0.6,0.7,-0.1,-0.14
11,Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003.0,2,51.0,26.0,11.3,0.6,1,45.0,0,1,6.0,3,3.0,1.0,1.0,0.0,0.0,1.0,1.5,-0.5,-0.87
12,Nadiem Amiri,GER,MF,Mainz 05,27,1996.0,4,300.0,75.0,66.7,3.3,4,75.0,2,0,0.0,0,1.25,6.0,6.0,0.0,0.0,4.6,6.2,-1.6,-0.48
13,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000.0,3,219.0,73.0,48.7,2.4,2,87.0,0,1,45.0,0,0.33,6.0,5.0,1.0,0.41,2.6,4.8,-2.2,-0.91
14,Robert Andrich,GER,MF,Leverkusen,30,1994.0,3,250.0,83.0,55.6,2.8,3,83.0,1,0,0.0,2,2.33,7.0,3.0,4.0,1.44,5.0,3.3,1.7,0.6
15,Mathys Angély,FRA,DF,Wolfsburg,17,2007.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Waldemar Anton,GER,DF,Dortmund,28,1996.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,2.0,11.0,9.0,2.0,0.4,8.8,8.1,0.6,0.13
17,Maximilian Arnold,GER,MF,Wolfsburg,30,1994.0,5,445.0,89.0,98.9,4.9,5,89.0,4,0,0.0,0,0.8,10.0,10.0,0.0,0.0,6.4,9.5,-3.0,-0.61
18,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000.0,5,132.0,26.0,29.3,1.5,0,0.0,0,5,26.0,0,0.2,4.0,3.0,1.0,0.68,2.0,2.5,-0.5,-0.36
19,Arthur,BRA,DF,Leverkusen,21,2003.0,1,5.0,5.0,1.1,0.1,0,0.0,0,1,5.0,3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,5.57
20,Noah Atubolu,GER,GK,Freiburg,22,2002.0,3,270.0,90.0,60.0,3.0,3,90.0,3,0,0.0,1,2.0,5.0,4.0,1.0,0.33,6.3,2.7,3.6,1.2
21,Mio Backhaus,GER,GK,Werder Bremen,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998.0,5,326.0,65.0,72.4,3.6,4,75.0,2,1,26.0,0,0.8,8.0,8.0,0.0,0.0,5.7,6.8,-1.1,-0.3
23,Aliou Baldé,GUI,"MF,FW",Bochum,21,2002.0,4,88.0,22.0,19.6,1.0,0,0.0,0,4,22.0,1,0.0,0.0,2.0,-2.0,-2.05,0.8,3.5,-2.8,-2.81
24,Samuel Bamba,GER,"FW,MF",Bochum,20,2004.0,2,9.0,5.0,2.0,0.1,0,0.0,0,2,5.0,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,1.41
25,Scott Banks,SCO,FW,St. Pauli,23,2001.0,2,17.0,9.0,3.8,0.2,0,0.0,0,2,9.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.26
26,Aymen Barkok,MAR,MF,Mainz 05,26,1998.0,4,73.0,18.0,16.2,0.8,0,0.0,0,4,18.0,1,1.0,2.0,3.0,-1.0,-1.23,1.2,2.4,-1.2,-1.48
27,Maximilian Bauer,GER,DF,Augsburg,24,2000.0,4,250.0,63.0,55.6,2.8,3,75.0,2,1,25.0,1,1.0,4.0,7.0,-3.0,-1.08,4.5,4.5,0.0,-0.01
28,Oliver Baumann,GER,GK,Hoffenheim,34,1990.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.6,9.0,15.0,-6.0,-1.2,7.0,11.9,-4.9,-0.98
29,Christoph Baumgartner,AUT,"MF,DF",RB Leipzig,25,1999.0,5,106.0,21.0,23.6,1.2,1,61.0,0,4,11.0,0,2.2,0.0,0.0,0.0,0.0,1.2,2.1,-0.9,-0.76
30,Adrian Beck,GER,FW,Heidenheim,27,1997.0,4,208.0,52.0,46.2,2.3,3,62.0,0,1,21.0,0,2.25,6.0,3.0,3.0,1.3,4.2,2.7,1.5,0.67
31,Timo Becker,GER,DF,Holstein Kiel,27,1997.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.2,7.0,17.0,-10.0,-2.0,5.8,10.5,-4.7,-0.94
32,Kevin Behrens,GER,FW,Wolfsburg,33,1991.0,3,45.0,15.0,10.0,0.5,0,0.0,0,3,15.0,2,0.33,1.0,3.0,-2.0,-4.0,1.2,1.9,-0.8,-1.52
33,Maximilian Beier,GER,"FW,MF",Dortmund,21,2002.0,4,138.0,35.0,30.7,1.5,1,70.0,0,3,23.0,1,2.5,5.0,1.0,4.0,2.61,3.5,2.1,1.4,0.92
34,Stefan Bell,GER,DF,Mainz 05,33,1991.0,3,164.0,55.0,36.4,1.8,1,45.0,0,2,60.0,1,0.67,2.0,4.0,-2.0,-1.1,3.0,3.0,-0.1,-0.04
35,Jeanuël Belocian,FRA,DF,Leverkusen,19,2005.0,2,46.0,23.0,10.2,0.5,1,45.0,0,1,1.0,3,2.0,2.0,3.0,-1.0,-1.96,0.6,0.7,-0.1,-0.16
36,László Bénes,SVK,"MF,FW",Union Berlin,27,1997.0,5,138.0,28.0,30.7,1.5,1,55.0,0,4,21.0,0,1.6,1.0,1.0,0.0,0.0,0.9,1.1,-0.3,-0.17
37,Ramy Bensebaini,ALG,"DF,FW",Dortmund,29,1995.0,5,173.0,35.0,38.4,1.9,1,71.0,0,4,26.0,0,2.0,7.0,4.0,3.0,1.56,4.0,3.0,1.0,0.53
38,Mergim Berisha,GER,FW,Hoffenheim,26,1998.0,5,220.0,44.0,48.9,2.4,3,48.0,0,2,39.0,0,0.6,6.0,9.0,-3.0,-1.23,3.5,5.0,-1.5,-0.63
39,Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,26,1998.0,2,152.0,76.0,33.8,1.7,2,76.0,1,0,0.0,0,0.0,2.0,5.0,-3.0,-1.78,2.2,4.4,-2.1,-1.27
40,Matúš Bero,SVK,MF,Bochum,29,1995.0,5,427.0,85.0,94.9,4.7,5,85.0,3,0,0.0,0,0.2,5.0,11.0,-6.0,-1.26,4.4,11.6,-7.2,-1.51
41,El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001.0,4,66.0,17.0,14.7,0.7,0,0.0,0,4,17.0,0,2.0,4.0,1.0,3.0,4.09,3.4,0.8,2.6,3.49
42,Tom Bischof,GER,MF,Hoffenheim,19,2005.0,3,188.0,63.0,41.8,2.1,2,87.0,1,1,15.0,0,0.0,4.0,6.0,-2.0,-0.96,2.0,4.4,-2.4,-1.14
43,Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993.0,1,3.0,3.0,0.7,0.0,0,0.0,0,1,3.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91
44,Myron Boadu,NED,"FW,MF",Bochum,23,2001.0,5,260.0,52.0,57.8,2.9,3,62.0,0,2,37.0,0,0.2,5.0,7.0,-2.0,-0.69,3.2,8.4,-5.3,-1.83
45,Sacha Boey,FRA,DF,Bayern Munich,24,2000.0,2,127.0,64.0,28.2,1.4,2,64.0,0,0,0.0,1,3.0,5.0,2.0,3.0,2.13,4.0,1.5,2.5,1.77
46,Victor Boniface,NGA,FW,Leverkusen,23,2000.0,5,342.0,68.0,76.0,3.8,4,80.0,0,1,23.0,0,2.0,10.0,5.0,5.0,1.32,7.1,4.4,2.7,0.71
47,Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.8,10.0,11.0,-1.0,-0.2,6.5,9.7,-3.3,-0.65
48,Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999.0,5,237.0,47.0,52.7,2.6,3,71.0,0,2,12.0,0,0.8,3.0,3.0,0.0,0.0,2.6,4.0,-1.3,-0.5
49,Julian Brandt,GER,MF,Dortmund,28,1996.0,5,382.0,76.0,84.9,4.2,5,76.0,0,0,0.0,0,2.0,6.0,7.0,-1.0,-0.24,6.2,6.7,-0.5,-0.13
50,Fabian Bredlow,GER,GK,Stuttgart,29,1995.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Tim Breithaupt,GER,MF,Augsburg,22,2002.0,2,120.0,60.0,26.7,1.3,2,60.0,0,0,0.0,3,0.5,2.0,4.0,-2.0,-1.5,1.3,2.1,-0.8,-0.62
52,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,5,217.0,43.0,48.2,2.4,2,70.0,0,3,26.0,0,1.8,4.0,3.0,1.0,0.41,3.9,3.4,0.5,0.2
53,Bennit Bröger,GER,MF,Wolfsburg,18,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Moritz Broschinski,GER,FW,Bochum,24,2000.0,5,251.0,50.0,55.8,2.8,3,65.0,0,2,29.0,0,0.2,1.0,6.0,-5.0,-1.79,2.0,6.3,-4.4,-1.56
55,Nathaniel Brown,GER,DF,Eint Frankfurt,21,2003.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,5,92.0,18.0,20.4,1.0,0,0.0,0,5,18.0,0,0.6,1.0,3.0,-2.0,-1.96,1.3,2.8,-1.5,-1.47
57,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,5,357.0,71.0,79.3,4.0,5,71.0,1,0,0.0,0,0.6,7.0,13.0,-6.0,-1.51,5.3,10.2,-5.0,-1.26
58,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5,447.0,89.0,99.3,5.0,5,89.0,4,0,0.0,0,1.0,8.0,10.0,-2.0,-0.4,6.1,9.4,-3.3,-0.66
59,Oliver Burke,SCO,"FW,MF",Werder Bremen,27,1997.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Marnon Busch,GER,DF,Heidenheim,29,1994.0,3,150.0,50.0,33.3,1.7,2,75.0,1,1,1.0,2,2.0,2.0,2.0,0.0,0.0,1.7,1.5,0.1,0.08
61,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,5,381.0,76.0,84.7,4.2,5,76.0,0,0,0.0,0,1.0,7.0,8.0,-1.0,-0.24,4.9,7.0,-2.1,-0.5
62,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,5,291.0,58.0,64.7,3.2,3,87.0,2,2,16.0,0,2.0,7.0,4.0,3.0,0.93,6.0,4.4,1.6,0.48
63,Julian Chabot,GER,DF,Stuttgart,26,1998.0,5,429.0,86.0,95.3,4.8,5,86.0,4,0,0.0,0,1.6,12.0,9.0,3.0,0.63,10.2,7.5,2.7,0.57
64,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,3,100.0,33.0,22.2,1.1,1,90.0,1,2,5.0,1,2.33,3.0,2.0,1.0,0.9,1.7,2.5,-0.8,-0.73
65,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,5,282.0,56.0,62.7,3.1,3,75.0,0,2,28.0,0,2.4,6.0,4.0,2.0,0.64,7.1,4.2,2.9,0.92
66,Timothy Chandler,USA,"DF,MF",Eint Frankfurt,34,1990.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,4,227.0,57.0,50.4,2.5,2,90.0,2,2,24.0,1,1.75,8.0,5.0,3.0,1.19,7.6,4.3,3.3,1.3
68,Arthur Chaves,BRA,DF,Hoffenheim,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,1,1.0,1.0,0.2,0.0,0,0.0,0,1,1.0,4,0.0,0.0,1.0,-1.0,-90.0,0.0,0.9,-0.9,-83.59
70,Alexis Claude-Maurice,FRA,"FW,MF",Augsburg,26,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,1,1.0,1.0,0.2,0.0,0,0.0,0,1,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05
72,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,5,204.0,41.0,45.3,2.3,2,65.0,0,3,25.0,0,2.6,9.0,0.0,9.0,3.97,5.8,1.4,4.4,1.94
73,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,4,126.0,32.0,28.0,1.4,0,0.0,0,4,32.0,1,1.5,4.0,2.0,2.0,1.43,3.8,2.6,1.1,0.82
74,Danny da Costa,GER,"DF,FW",Mainz 05,31,1993.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Yan Couto,BRA,DF,Dortmund,22,2002.0,3,146.0,49.0,32.4,1.6,1,82.0,0,2,32.0,1,2.0,6.0,6.0,0.0,0.0,3.8,4.0,-0.2,-0.14
76,Nicolas Cozza,FRA,DF,Wolfsburg,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,5,79.0,16.0,17.6,0.9,0,0.0,0,5,16.0,0,1.2,2.0,2.0,0.0,0.0,1.1,2.7,-1.6,-1.84
78,Finn Dahmen,GER,GK,Augsburg,26,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Thomas Dähne,GER,GK,Holstein Kiel,30,1994.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,2,51.0,26.0,11.3,0.6,0,0.0,0,2,26.0,1,3.0,3.0,1.0,2.0,3.53,1.1,0.5,0.6,1.14
81,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,1,11.0,11.0,2.4,0.1,0,0.0,0,1,11.0,4,3.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,1.86
82,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,4,176.0,44.0,39.1,2.0,2,62.0,0,2,26.0,0,0.25,2.0,4.0,-2.0,-1.02,1.9,5.4,-3.5,-1.8
83,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,4,297.0,74.0,66.0,3.3,3,90.0,3,1,27.0,1,2.5,11.0,4.0,7.0,2.12,7.8,2.1,5.6,1.7
84,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,2,19.0,10.0,4.2,0.2,0,0.0,0,2,10.0,3,1.5,0.0,0.0,0.0,0.0,0.6,0.5,0.2,0.89
85,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,5,321.0,64.0,71.3,3.6,4,76.0,1,1,18.0,0,1.6,9.0,7.0,2.0,0.56,7.1,5.1,2.0,0.55
86,Justin Diehl,GER,DF,Stuttgart,19,2004.0,1,26.0,26.0,5.8,0.3,0,0.0,0,1,26.0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.28
87,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,1,10.0,10.0,2.2,0.1,0,0.0,0,1,10.0,4,3.0,1.0,0.0,1.0,9.0,0.4,0.3,0.1,0.77
88,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,2,88.0,44.0,19.6,1.0,1,67.0,0,1,21.0,1,3.0,4.0,2.0,2.0,2.05,2.1,1.4,0.7,0.77
89,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,4,187.0,47.0,41.6,2.1,2,54.0,0,2,40.0,0,1.5,4.0,4.0,0.0,0.0,5.1,2.5,2.6,1.23
90,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,5,411.0,82.0,91.3,4.6,5,82.0,2,0,0.0,0,1.8,8.0,7.0,1.0,0.22,8.4,4.1,4.4,0.95
91,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,1.6,4.0,3.0,1.0,0.2,4.1,4.2,-0.1,-0.02
92,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,1,32.0,32.0,7.1,0.4,0,0.0,0,1,32.0,0,1.0,0.0,0.0,0.0,0.0,0.1,0.7,-0.6,-1.79
93,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,3,122.0,41.0,27.1,1.4,1,79.0,0,2,22.0,0,1.0,2.0,1.0,1.0,0.74,2.0,1.4,0.6,0.47
94,Patrick Drewes,GER,GK,Bochum,31,1993.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.2,5.0,11.0,-6.0,-1.2,4.5,12.8,-8.3,-1.65
95,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,5,319.0,64.0,70.9,3.5,4,64.0,1,1,64.0,0,0.6,4.0,12.0,-8.0,-2.26,4.2,10.3,-6.1,-1.71
96,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,5,367.0,73.0,81.6,4.1,5,73.0,0,0,0.0,0,1.6,7.0,8.0,-1.0,-0.25,5.6,5.8,-0.2,-0.06
97,Julien Duranville,BEL,FW,Dortmund,18,2006.0,1,25.0,25.0,5.6,0.3,0,0.0,0,1,25.0,4,3.0,2.0,0.0,2.0,7.2,1.2,0.1,1.1,4.03
98,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,4,89.0,22.0,19.8,1.0,0,0.0,0,4,22.0,1,1.0,0.0,1.0,-1.0,-1.01,0.5,1.4,-0.9,-0.94
99,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,5,398.0,80.0,88.4,4.4,5,80.0,1,0,0.0,0,0.8,4.0,5.0,-1.0,-0.23,4.3,5.6,-1.2,-0.28
100,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,5,421.0,84.0,93.6,4.7,5,84.0,3,0,0.0,0,1.8,8.0,7.0,1.0,0.21,9.2,4.4,4.8,1.03
101,Vitus Eicher,GER,GK,Heidenheim,33,1990.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,4,290.0,73.0,64.4,3.2,4,73.0,0,0,0.0,0,2.25,5.0,2.0,3.0,0.93,7.2,3.9,3.3,1.02
103,Agon Elezi,MKD,MF,Bochum,23,2001.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Elif Elmas,MKD,"FW,MF",RB Leipzig,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,1.2,6.0,8.0,-2.0,-0.4,8.7,8.9,-0.2,-0.04
106,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,1,79.0,79.0,17.6,0.9,1,79.0,0,0,0.0,0,1.0,2.0,2.0,0.0,0.0,1.0,1.4,-0.5,-0.54
107,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,3,225.0,75.0,50.0,2.5,3,75.0,2,0,0.0,0,0.0,2.0,9.0,-7.0,-2.8,2.8,6.5,-3.7,-1.47
108,Samuel Essende,COD,FW,Augsburg,26,1998.0,4,326.0,82.0,72.4,3.6,4,82.0,2,0,0.0,0,1.0,6.0,10.0,-4.0,-1.1,5.2,5.9,-0.7,-0.21
